id,yas,gelir,kredi_tutari,kredi_suresi_ay,mevcut_borc,borc_gelir_orani,calisma_durumu,egitim,medeni_durum,ev_sahibi,kredi_gecmisi,kredi_onay
22,43,2981,53704,12,2314,0.78,Emekli,Lisans,Dul,Evet,Temiz,Ret
23,37,10719,54103,60,5552,0.52,İşsiz,Doktora,Bekar,Evet,Temiz,Ret
24,19,9315,55579,72,2260,0.24,Emekli,Lisans,Dul,Hayır,Yeni,Onay
25,51,8667,12469,18,9435,1.09,Emekli,Yüksek,Dul,Hayır,Gecikmeli,Ret
26,27,6967,35685,48,2071,0.3,Öğrenci,Doktora,Dul,Hayır,Gecikmeli,Ret
27,36,19946,38999,36,5239,0.26,İşsiz,Yüksek,Dul,Evet,Gecikmeli,Ret
28,47,18287,23353,72,21442,1.17,Çalışıyor,Lisans,Evli,Evet,Yeni,Ret
29,41,2856,47314,60,3732,1.31,Çalışıyor,Lisans,Dul,Hayır,Temiz,Ret
30,52,8164,66961,72,10045,1.23,Çalışıyor,Lisans,Bekar,Hayır,Temiz,Onay
31,49,6304,39046,36,8373,1.33,İşsiz,Lise,Bekar,Hayır,Gecikmeli,Ret
32,29,8720,55481,24,7387,0.85,Öğrenci,Yüksek,Dul,Evet,Temiz,Ret
33,55,5945,26540,72,5589,0.94,İşsiz,Yüksek,Bekar,Hayır,Yeni,Ret
34,54,19682,48241,18,31485,1.6,Öğrenci,Lisans,Evli,Hayır,Gecikmeli,Ret
35,29,16910,27368,24,15094,0.89,İşsiz,Yüksek,Bekar,Evet,Temiz,Onay
36,42,19566,32356,72,18606,0.95,İşsiz,Lisans,Evli,Hayır,Temiz,Onay
37,37,5534,55639,18,6452,1.17,Emekli,Lisans,Bekar,Hayır,Yeni,Ret
38,49,2997,6642,60,2690,0.9,Çalışıyor,Doktora,Dul,Hayır,Temiz,Ret
39,45,10071,32937,72,8676,0.86,Çalışıyor,Lisans,Dul,Hayır,Yeni,Onay
40,21,13287,24071,48,21758,1.64,Öğrenci,Lisans,Evli,Hayır,Temiz,Onay
41,38,19575,34921,12,16468,0.84,Çalışıyor,Lise,Evli,Evet,Temiz,Onay
42,23,6781,42414,24,5456,0.8,Çalışıyor,Doktora,Bekar,Evet,Gecikmeli,Ret
43,65,3147,49817,72,312,0.1,Çalışıyor,Lise,Evli,Hayır,Yeni,Ret
44,63,14233,46308,72,18615,1.31,İşsiz,Lise,Evli,Evet,Yeni,Ret
45,23,13900,54916,60,11436,0.82,Emekli,Lise,Bekar,Hayır,Gecikmeli,Ret
46,42,19405,16611,18,10055,0.52,Çalışıyor,Doktora,Bekar,Hayır,Yeni,Ret
47,30,17102,20193,12,29380,1.72,İşsiz,Yüksek,Evli,Evet,Temiz,Onay
48,21,8925,31737,24,2864,0.32,İşsiz,Lisans,Evli,Evet,Gecikmeli,Ret
49,61,15695,14881,36,28792,1.83,Öğrenci,Lisans,Bekar,Evet,Yeni,Ret
50,58,7615,17010,48,11526,1.51,Öğrenci,Lise,Bekar,Evet,Yeni,Ret
51,26,16640,7596,18,16218,0.97,Çalışıyor,Lise,Dul,Hayır,Gecikmeli,Ret
52,63,3552,42416,36,5764,1.62,İşsiz,Lise,Dul,Hayır,Gecikmeli,Ret
53,50,6426,40551,48,8363,1.3,Öğrenci,Lise,Evli,Hayır,Gecikmeli,Ret
54,50,11113,64824,12,18161,1.63,Çalışıyor,Doktora,Bekar,Hayır,Temiz,Onay
55,22,6726,60720,72,12531,1.86,Öğrenci,Lisans,Dul,Evet,Temiz,Ret
56,51,18890,6008,36,31795,1.68,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
57,48,8694,7368,18,2134,0.25,İşsiz,Lise,Bekar,Hayır,Temiz,Onay
58,65,9725,40633,60,12859,1.32,Emekli,Lise,Bekar,Evet,Yeni,Ret
59,44,6554,46747,48,5184,0.79,Emekli,Yüksek,Dul,Hayır,Temiz,Ret
60,46,13051,53641,12,2931,0.22,Emekli,Lisans,Bekar,Hayır,Temiz,Onay
61,24,10801,41126,18,12912,1.2,İşsiz,Lisans,Bekar,Evet,Yeni,Ret
62,44,4486,28009,24,4951,1.1,İşsiz,Lisans,Evli,Hayır,Yeni,Ret
63,24,10585,56613,12,6268,0.59,Öğrenci,Lisans,Dul,Hayır,Yeni,Ret
64,62,2570,42184,72,3253,1.27,Çalışıyor,Lise,Dul,Hayır,Temiz,Ret
65,29,4292,49902,48,6781,1.58,Öğrenci,Yüksek,Bekar,Evet,Yeni,Ret
66,33,18414,35904,48,23285,1.26,Emekli,Lise,Bekar,Evet,Temiz,Onay
67,18,18655,68221,72,5491,0.29,Emekli,Doktora,Dul,Hayır,Temiz,Onay
68,24,5841,52013,24,7781,1.33,İşsiz,Lise,Evli,Evet,Yeni,Ret
69,43,4806,13839,24,8633,1.8,Emekli,Doktora,Dul,Evet,Temiz,Ret
70,50,16010,14686,36,15466,0.97,Çalışıyor,Lisans,Bekar,Hayır,Gecikmeli,Ret
71,44,15600,34677,24,1797,0.12,Emekli,Lisans,Evli,Hayır,Yeni,Ret
72,34,13122,5349,72,20087,1.53,İşsiz,Doktora,Dul,Hayır,Yeni,Ret
73,23,7630,66616,18,4222,0.55,İşsiz,Doktora,Evli,Evet,Temiz,Onay
74,37,19713,32527,72,36581,1.86,Öğrenci,Lisans,Bekar,Hayır,Temiz,Onay
75,64,17897,24058,24,11995,0.67,İşsiz,Lise,Bekar,Evet,Gecikmeli,Onay
76,33,3879,24647,48,7697,1.98,Emekli,Yüksek,Bekar,Hayır,Yeni,Onay
77,53,7028,63300,18,3437,0.49,İşsiz,Yüksek,Evli,Hayır,Temiz,Onay
78,18,2351,43684,72,586,0.25,Çalışıyor,Doktora,Bekar,Evet,Temiz,Ret
79,22,5678,34530,24,5405,0.95,Emekli,Yüksek,Evli,Evet,Yeni,Onay
80,35,11010,23362,36,7909,0.72,Çalışıyor,Yüksek,Dul,Evet,Yeni,Onay
81,44,11207,65584,12,20794,1.86,Öğrenci,Yüksek,Bekar,Evet,Gecikmeli,Onay
82,25,11295,64962,12,19091,1.69,Öğrenci,Doktora,Bekar,Hayır,Temiz,Onay
83,20,3043,11260,24,616,0.2,Emekli,Lisans,Bekar,Hayır,Gecikmeli,Ret
84,53,2573,63870,72,2872,1.12,Emekli,Doktora,Bekar,Hayır,Yeni,Ret
85,21,18954,21618,12,15280,0.81,Çalışıyor,Lisans,Evli,Evet,Gecikmeli,Ret
86,50,6043,9249,48,6872,1.14,Öğrenci,Yüksek,Dul,Evet,Yeni,Onay
87,62,2272,53597,24,659,0.29,Emekli,Lise,Dul,Hayır,Gecikmeli,Ret
88,18,7313,44207,24,10695,1.46,Emekli,Lisans,Dul,Evet,Gecikmeli,Onay
89,54,12981,57472,24,10633,0.82,Çalışıyor,Doktora,Dul,Hayır,Temiz,Onay
90,27,18146,57741,60,6477,0.36,İşsiz,Yüksek,Evli,Hayır,Gecikmeli,Ret
91,22,8682,8474,12,7283,0.84,Emekli,Lise,Bekar,Evet,Temiz,Onay
92,60,15402,54057,36,2146,0.14,Çalışıyor,Lise,Bekar,Hayır,Yeni,Ret
93,51,10981,23555,72,7986,0.73,Emekli,Doktora,Bekar,Evet,Gecikmeli,Onay
94,42,4582,22568,48,8082,1.76,Çalışıyor,Doktora,Dul,Evet,Yeni,Ret
95,37,11218,23831,24,15650,1.4,Emekli,Yüksek,Bekar,Hayır,Temiz,Onay
96,46,4910,44038,36,4638,0.94,İşsiz,Lise,Bekar,Evet,Temiz,Onay
97,42,11212,63543,48,10199,0.91,Öğrenci,Yüksek,Dul,Evet,Temiz,Onay
98,44,16837,23270,24,19167,1.14,Öğrenci,Doktora,Bekar,Hayır,Yeni,Ret
99,50,16099,16499,60,14250,0.89,Öğrenci,Lisans,Evli,Evet,Temiz,Onay
100,50,13651,45398,12,4017,0.29,Öğrenci,Lise,Dul,Hayır,Gecikmeli,Ret
101,28,12316,67504,60,9076,0.74,Öğrenci,Lise,Bekar,Hayır,Temiz,Onay
102,21,8803,58105,18,5039,0.57,İşsiz,Doktora,Evli,Hayır,Temiz,Onay
103,65,15676,35629,60,30171,1.92,İşsiz,Lisans,Bekar,Hayır,Yeni,Ret
104,26,6360,69337,36,5194,0.82,Çalışıyor,Yüksek,Evli,Hayır,Temiz,Onay
105,44,12258,69073,12,22464,1.83,Çalışıyor,Doktora,Evli,Hayır,Temiz,Onay
106,58,4826,56261,60,7902,1.64,Öğrenci,Lisans,Evli,Hayır,Yeni,Ret
107,58,3476,67373,60,4369,1.26,Emekli,Yüksek,Evli,Hayır,Temiz,Ret
108,42,13264,24678,48,10639,0.8,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
109,37,12433,36821,36,10260,0.83,Öğrenci,Lise,Dul,Evet,Yeni,Onay
110,27,13934,42988,12,344,0.02,Çalışıyor,Yüksek,Bekar,Evet,Gecikmeli,Ret
111,52,9913,16764,60,1611,0.16,Çalışıyor,Yüksek,Bekar,Evet,Gecikmeli,Ret
112,26,14412,53151,24,23004,1.6,İşsiz,Doktora,Evli,Evet,Temiz,Onay
113,43,2637,28123,48,651,0.25,Öğrenci,Doktora,Evli,Evet,Temiz,Onay
114,21,18895,39721,12,14772,0.78,İşsiz,Yüksek,Evli,Hayır,Temiz,Onay
115,25,9478,63301,48,7226,0.76,İşsiz,Yüksek,Evli,Hayır,Yeni,Ret
116,55,13008,48863,18,3045,0.23,Emekli,Lise,Dul,Hayır,Gecikmeli,Onay
117,29,9107,64516,72,4225,0.46,Çalışıyor,Lisans,Dul,Hayır,Temiz,Onay
118,38,17002,44329,72,8408,0.49,İşsiz,Lisans,Dul,Hayır,Yeni,Onay
119,44,7868,49173,12,3469,0.44,Öğrenci,Lisans,Bekar,Evet,Temiz,Onay
120,21,6120,61273,72,9097,1.49,Öğrenci,Lise,Bekar,Hayır,Gecikmeli,Ret
121,46,4514,18702,18,4372,0.97,Öğrenci,Yüksek,Dul,Hayır,Temiz,Onay
122,28,6724,19764,48,7425,1.1,Emekli,Doktora,Bekar,Evet,Gecikmeli,Ret
123,58,8431,41076,72,16042,1.9,Öğrenci,Yüksek,Bekar,Hayır,Temiz,Ret
124,33,14715,69823,24,5789,0.39,İşsiz,Yüksek,Dul,Evet,Temiz,Onay
125,39,15893,46357,24,18426,1.16,Emekli,Lisans,Dul,Evet,Temiz,Onay
126,54,11515,17132,72,10660,0.93,İşsiz,Yüksek,Dul,Hayır,Temiz,Onay
127,28,3876,42493,18,3062,0.79,İşsiz,Lisans,Bekar,Hayır,Temiz,Ret
128,19,11289,17099,36,2253,0.2,Çalışıyor,Lise,Dul,Evet,Gecikmeli,Ret
129,28,16708,60043,72,5590,0.33,Emekli,Lisans,Bekar,Evet,Gecikmeli,Ret
130,27,3879,6821,60,4555,1.17,İşsiz,Lisans,Bekar,Hayır,Gecikmeli,Ret
131,32,12222,48662,24,11668,0.95,Öğrenci,Doktora,Dul,Evet,Gecikmeli,Ret
132,36,17958,21588,72,21073,1.17,Çalışıyor,Lisans,Evli,Hayır,Yeni,Ret
133,22,16898,48773,48,24512,1.45,Çalışıyor,Lise,Evli,Evet,Yeni,Ret
134,18,3960,34567,18,7406,1.87,Emekli,Lisans,Dul,Hayır,Yeni,Onay
135,43,8962,17567,18,16364,1.83,Çalışıyor,Doktora,Evli,Hayır,Yeni,Ret
136,65,2987,38690,72,3813,1.28,İşsiz,Doktora,Evli,Hayır,Yeni,Ret
137,65,19462,8862,60,23652,1.22,Çalışıyor,Yüksek,Bekar,Evet,Yeni,Ret
138,64,17006,53322,18,29903,1.76,İşsiz,Doktora,Evli,Evet,Temiz,Onay
139,37,12887,66970,24,25182,1.95,İşsiz,Lisans,Dul,Evet,Yeni,Ret
140,49,11543,69060,48,21276,1.84,İşsiz,Lisans,Dul,Hayır,Gecikmeli,Onay
141,43,15727,40489,60,15188,0.97,Çalışıyor,Lisans,Dul,Evet,Yeni,Onay
142,43,7950,39747,36,2407,0.3,Öğrenci,Lisans,Evli,Evet,Yeni,Onay
143,22,13930,9822,36,23737,1.7,Öğrenci,Lise,Evli,Hayır,Yeni,Ret
144,51,15586,52443,48,14968,0.96,Öğrenci,Doktora,Dul,Evet,Temiz,Onay
145,22,19447,39825,24,24318,1.25,İşsiz,Yüksek,Bekar,Hayır,Gecikmeli,Ret
146,46,16015,40684,60,26532,1.66,Öğrenci,Lisans,Bekar,Hayır,Gecikmeli,Onay
147,57,14271,5498,48,14967,1.05,İşsiz,Doktora,Bekar,Evet,Temiz,Onay
148,23,2525,55307,18,4181,1.66,Öğrenci,Doktora,Bekar,Evet,Yeni,Ret
149,35,14463,42640,72,1741,0.12,Çalışıyor,Lisans,Evli,Hayır,Yeni,Onay
150,65,16293,35296,12,7774,0.48,Öğrenci,Lise,Bekar,Evet,Temiz,Onay
151,33,13158,33678,36,12243,0.93,Emekli,Lise,Evli,Evet,Temiz,Onay
152,20,15793,30652,18,16592,1.05,Öğrenci,Doktora,Bekar,Hayır,Yeni,Onay
153,47,6367,68050,18,2621,0.41,Çalışıyor,Lisans,Dul,Evet,Gecikmeli,Ret
154,41,17090,18686,12,8126,0.48,Emekli,Lisans,Evli,Hayır,Temiz,Onay
155,42,19852,25838,18,3405,0.17,Öğrenci,Lisans,Bekar,Evet,Yeni,Onay
156,35,19069,20413,24,31472,1.65,Emekli,Lisans,Dul,Evet,Yeni,Ret
157,44,10542,26065,60,14848,1.41,Emekli,Yüksek,Dul,Evet,Gecikmeli,Ret
158,46,9106,43859,18,3360,0.37,Öğrenci,Lisans,Bekar,Hayır,Gecikmeli,Ret
159,51,3067,30893,12,303,0.1,Öğrenci,Lisans,Bekar,Evet,Temiz,Ret
160,45,4288,68476,12,1857,0.43,İşsiz,Yüksek,Dul,Hayır,Temiz,Ret
161,33,15744,59388,60,31237,1.98,Çalışıyor,Lisans,Evli,Hayır,Gecikmeli,Ret
162,20,14602,30957,24,28542,1.95,Çalışıyor,Yüksek,Dul,Hayır,Yeni,Ret
163,58,13820,61078,18,17001,1.23,Öğrenci,Doktora,Bekar,Hayır,Gecikmeli,Ret
164,19,17164,58779,18,2693,0.16,Emekli,Lisans,Evli,Evet,Yeni,Onay
165,53,2573,22017,72,3011,1.17,Öğrenci,Lisans,Bekar,Evet,Yeni,Onay
166,51,15801,22524,24,6236,0.39,İşsiz,Doktora,Dul,Hayır,Yeni,Onay
167,48,2891,7259,12,2367,0.82,İşsiz,Lise,Dul,Hayır,Yeni,Ret
168,52,6776,48564,72,5039,0.74,Öğrenci,Lise,Evli,Hayır,Yeni,Onay
169,46,2257,50820,24,319,0.14,Çalışıyor,Lise,Dul,Evet,Gecikmeli,Ret
170,36,18447,41473,72,28724,1.56,Öğrenci,Lisans,Dul,Hayır,Gecikmeli,Ret
171,36,15128,58329,18,19079,1.26,Çalışıyor,Lise,Dul,Hayır,Gecikmeli,Ret
172,61,17223,54432,48,1612,0.09,Öğrenci,Lisans,Dul,Hayır,Temiz,Onay
173,29,4946,15428,18,3864,0.78,Öğrenci,Lisans,Evli,Hayır,Yeni,Ret
174,56,13224,33860,60,9069,0.69,Çalışıyor,Lisans,Evli,Hayır,Gecikmeli,Ret
175,31,14706,41340,18,687,0.05,İşsiz,Yüksek,Evli,Hayır,Gecikmeli,Onay
176,32,3519,21144,48,5548,1.58,Emekli,Yüksek,Dul,Hayır,Gecikmeli,Ret
177,48,6171,40461,72,7210,1.17,Öğrenci,Doktora,Bekar,Evet,Temiz,Ret
178,58,10573,65968,72,9823,0.93,Öğrenci,Lise,Evli,Hayır,Temiz,Onay
179,51,19451,69556,72,15024,0.77,İşsiz,Lise,Dul,Evet,Gecikmeli,Ret
180,61,17333,38674,48,2001,0.12,İşsiz,Doktora,Evli,Evet,Yeni,Ret
181,36,2786,21167,60,3667,1.32,İşsiz,Lisans,Bekar,Hayır,Gecikmeli,Onay
182,38,13469,28737,48,16136,1.2,Öğrenci,Lisans,Bekar,Evet,Yeni,Ret
183,62,14441,52875,18,23587,1.63,Öğrenci,Doktora,Dul,Evet,Yeni,Ret
184,62,15546,50619,72,24979,1.61,Emekli,Doktora,Evli,Hayır,Yeni,Ret
185,44,16252,66831,12,391,0.02,İşsiz,Lise,Evli,Hayır,Temiz,Onay
186,40,2354,7800,72,3786,1.61,Öğrenci,Lisans,Dul,Hayır,Gecikmeli,Ret
187,34,13649,20152,24,18161,1.33,Öğrenci,Yüksek,Dul,Hayır,Gecikmeli,Ret
188,61,15263,50659,12,24594,1.61,Emekli,Lise,Evli,Evet,Temiz,Onay
189,24,17787,64841,36,29461,1.66,Öğrenci,Yüksek,Dul,Evet,Gecikmeli,Ret
190,57,17222,26744,18,7257,0.42,Çalışıyor,Lisans,Evli,Evet,Temiz,Onay
191,26,11936,45741,24,21995,1.84,İşsiz,Lisans,Bekar,Evet,Gecikmeli,Ret
192,28,15234,43202,18,14130,0.93,Emekli,Lise,Evli,Evet,Temiz,Onay
193,64,16163,41567,60,188,0.01,Emekli,Lise,Bekar,Hayır,Gecikmeli,Ret
194,21,13514,6348,48,19093,1.41,Emekli,Lisans,Dul,Evet,Gecikmeli,Ret
195,43,18020,67372,48,7697,0.43,Emekli,Yüksek,Bekar,Hayır,Yeni,Ret
196,52,16823,44163,72,26428,1.57,İşsiz,Doktora,Bekar,Hayır,Temiz,Onay
197,29,7784,15881,72,11602,1.49,İşsiz,Yüksek,Bekar,Evet,Temiz,Ret
198,28,14515,14659,18,11427,0.79,İşsiz,Lise,Dul,Hayır,Temiz,Onay
199,41,12480,68691,24,1435,0.11,Emekli,Lisans,Bekar,Evet,Yeni,Onay
200,61,2107,54004,72,3112,1.48,Emekli,Yüksek,Evli,Evet,Temiz,Ret
201,18,5434,35514,12,5943,1.09,İşsiz,Yüksek,Dul,Evet,Yeni,Ret
202,30,2107,48583,24,1986,0.94,İşsiz,Doktora,Bekar,Evet,Temiz,Onay
203,30,8152,39206,72,11946,1.47,Emekli,Doktora,Evli,Hayır,Gecikmeli,Ret
204,34,15789,54342,36,24814,1.57,İşsiz,Yüksek,Dul,Evet,Gecikmeli,Ret
205,51,3041,10180,48,2470,0.81,İşsiz,Lisans,Evli,Hayır,Yeni,Ret
206,31,10824,66855,24,8914,0.82,İşsiz,Yüksek,Dul,Evet,Yeni,Ret
207,32,13727,26407,36,7219,0.53,İşsiz,Lisans,Dul,Evet,Yeni,Onay
208,55,18404,37732,12,20266,1.1,Emekli,Lisans,Bekar,Evet,Gecikmeli,Ret
209,47,19517,31041,12,29662,1.52,Öğrenci,Lise,Evli,Evet,Temiz,Onay
210,19,18572,11245,36,19935,1.07,Emekli,Yüksek,Bekar,Hayır,Yeni,Ret
211,50,4732,40203,48,5696,1.2,Çalışıyor,Doktora,Dul,Hayır,Gecikmeli,Ret
212,47,12005,63373,36,717,0.06,Çalışıyor,Doktora,Evli,Hayır,Yeni,Ret
213,51,5785,39430,72,5803,1.0,Çalışıyor,Lise,Evli,Hayır,Yeni,Onay
214,43,7062,52477,24,13837,1.96,Çalışıyor,Lise,Dul,Evet,Yeni,Ret
215,63,4780,68892,12,1775,0.37,İşsiz,Lise,Evli,Evet,Temiz,Ret
216,48,3915,18529,72,4889,1.25,Emekli,Yüksek,Evli,Evet,Temiz,Ret
217,33,17702,45215,24,13209,0.75,İşsiz,Lise,Evli,Evet,Gecikmeli,Ret
218,42,5697,27322,36,9836,1.73,İşsiz,Yüksek,Dul,Hayır,Yeni,Ret
219,24,4690,69805,24,4929,1.05,İşsiz,Lisans,Bekar,Evet,Yeni,Ret
220,21,10118,34937,24,500,0.05,Çalışıyor,Lisans,Evli,Evet,Gecikmeli,Ret
221,26,15753,22591,48,24225,1.54,İşsiz,Lisans,Evli,Hayır,Yeni,Ret
222,26,13175,32346,60,18005,1.37,Öğrenci,Lise,Evli,Hayır,Yeni,Ret
223,33,17546,56872,48,6961,0.4,Çalışıyor,Lisans,Bekar,Hayır,Yeni,Ret
224,49,15027,10460,12,3043,0.2,Öğrenci,Yüksek,Bekar,Evet,Gecikmeli,Ret
225,43,7213,69205,24,2575,0.36,İşsiz,Doktora,Bekar,Evet,Gecikmeli,Ret
226,57,11314,53512,72,22020,1.95,Emekli,Yüksek,Dul,Evet,Yeni,Ret
227,53,3015,25337,12,5081,1.69,Emekli,Doktora,Bekar,Hayır,Gecikmeli,Ret
228,34,17755,43306,18,35008,1.97,İşsiz,Yüksek,Evli,Hayır,Temiz,Onay
229,36,10160,28724,48,3073,0.3,Emekli,Lisans,Bekar,Evet,Temiz,Onay
230,26,19655,39621,36,1214,0.06,Öğrenci,Yüksek,Evli,Evet,Temiz,Onay
231,22,17041,46307,72,21551,1.26,Öğrenci,Yüksek,Dul,Hayır,Gecikmeli,Ret
232,47,3405,16788,60,2576,0.76,Öğrenci,Lisans,Dul,Evet,Yeni,Ret
233,49,18211,40708,60,33615,1.85,Emekli,Yüksek,Evli,Evet,Yeni,Ret
234,19,15635,33893,12,3023,0.19,İşsiz,Doktora,Dul,Evet,Gecikmeli,Ret
235,56,15711,42889,72,20777,1.32,Emekli,Lisans,Bekar,Evet,Yeni,Ret
236,58,9982,66819,48,13704,1.37,Çalışıyor,Lisans,Bekar,Hayır,Yeni,Ret
237,36,16639,63606,12,21636,1.3,İşsiz,Yüksek,Evli,Hayır,Gecikmeli,Ret
238,61,13142,53967,72,11905,0.91,Emekli,Yüksek,Dul,Evet,Gecikmeli,Ret
239,33,16485,41136,18,6012,0.36,İşsiz,Lisans,Evli,Hayır,Yeni,Onay
240,46,8484,23329,72,4662,0.55,İşsiz,Lisans,Dul,Evet,Gecikmeli,Ret
241,23,12796,25025,24,14402,1.13,Öğrenci,Lisans,Evli,Evet,Temiz,Ret
242,31,17011,59479,72,20923,1.23,İşsiz,Lise,Evli,Evet,Gecikmeli,Ret
243,52,4657,41212,72,7196,1.55,İşsiz,Lise,Bekar,Evet,Temiz,Ret
244,45,19122,37678,72,37606,1.97,Emekli,Lise,Dul,Hayır,Temiz,Onay
245,53,6965,56211,36,2072,0.3,İşsiz,Lisans,Evli,Hayır,Yeni,Onay
246,27,15374,37709,60,30655,1.99,Emekli,Yüksek,Dul,Evet,Yeni,Ret
247,58,16684,45647,60,24162,1.45,Öğrenci,Doktora,Bekar,Evet,Gecikmeli,Ret
248,42,9127,21885,24,15239,1.67,İşsiz,Doktora,Dul,Hayır,Yeni,Ret
249,28,7942,38190,24,11279,1.42,Öğrenci,Yüksek,Bekar,Hayır,Yeni,Ret
250,63,17938,68504,36,14444,0.81,Çalışıyor,Lise,Evli,Evet,Gecikmeli,Ret
251,31,4666,45447,24,6052,1.3,İşsiz,Doktora,Dul,Hayır,Yeni,Ret
252,59,4158,48372,18,5977,1.44,Çalışıyor,Lisans,Evli,Evet,Temiz,Ret
253,43,18557,47738,72,29313,1.58,Çalışıyor,Lise,Dul,Evet,Gecikmeli,Ret
254,46,7375,7795,12,2306,0.31,Öğrenci,Lisans,Evli,Evet,Gecikmeli,Ret
255,23,6666,23437,24,4010,0.6,Emekli,Lisans,Dul,Evet,Yeni,Ret
256,21,17635,48201,18,21337,1.21,İşsiz,Yüksek,Bekar,Evet,Gecikmeli,Ret
257,35,10005,55609,48,3637,0.36,Öğrenci,Doktora,Bekar,Hayır,Yeni,Onay
258,61,19185,33256,36,23204,1.21,İşsiz,Doktora,Bekar,Hayır,Gecikmeli,Ret
259,58,13501,10957,48,24865,1.84,Emekli,Doktora,Evli,Hayır,Yeni,Ret
260,25,7417,63180,36,11932,1.61,Çalışıyor,Lisans,Bekar,Hayır,Temiz,Ret
261,42,17963,54127,60,26659,1.48,Emekli,Lise,Evli,Hayır,Temiz,Onay
262,62,16243,67438,72,23820,1.47,Emekli,Yüksek,Dul,Hayır,Temiz,Onay
263,21,17263,5792,60,33752,1.96,Emekli,Lisans,Evli,Hayır,Yeni,Ret
264,64,7522,39753,18,5931,0.79,İşsiz,Lise,Bekar,Evet,Gecikmeli,Ret
265,39,2376,18012,72,3682,1.55,Öğrenci,Lise,Dul,Evet,Yeni,Ret
266,54,17757,57886,48,30925,1.74,İşsiz,Yüksek,Dul,Hayır,Temiz,Onay
267,51,3131,52274,60,1201,0.38,Emekli,Doktora,Dul,Evet,Temiz,Ret
268,18,12274,60145,18,889,0.07,Çalışıyor,Doktora,Bekar,Evet,Temiz,Ret
269,47,12482,34786,48,13048,1.05,Emekli,Doktora,Bekar,Hayır,Yeni,Ret
270,49,14759,39082,60,13568,0.92,Çalışıyor,Lisans,Bekar,Evet,Gecikmeli,Ret
271,33,16142,37803,48,25130,1.56,Çalışıyor,Yüksek,Evli,Evet,Yeni,Ret
272,42,14746,13591,12,28508,1.93,İşsiz,Doktora,Dul,Evet,Temiz,Onay
273,55,9407,19149,12,17278,1.84,Öğrenci,Doktora,Evli,Evet,Gecikmeli,Ret
274,64,6821,50879,36,390,0.06,İşsiz,Yüksek,Evli,Hayır,Yeni,Ret
275,47,2259,27019,60,2450,1.08,Emekli,Doktora,Evli,Hayır,Yeni,Onay
276,35,7064,44969,48,7348,1.04,İşsiz,Lisans,Bekar,Hayır,Temiz,Ret
277,20,13380,38600,60,11648,0.87,Çalışıyor,Doktora,Dul,Hayır,Gecikmeli,Ret
278,21,8707,37221,72,9061,1.04,İşsiz,Lise,Bekar,Hayır,Yeni,Ret
279,54,5873,35168,36,3414,0.58,Emekli,Lisans,Dul,Evet,Gecikmeli,Onay
280,20,12288,24025,48,16325,1.33,İşsiz,Yüksek,Dul,Evet,Yeni,Ret
